symbol,year,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity
SOL,2023,901,775,126,169.85420258738006,11682.467368012221,1.6985420258738004,116.82467368012222,56.741529804257205,11852.3215705996,64.59489456159822,64.90322580645162,62.698412698412696,2.067361964124821,4.447122836701237,0.8221661497499252,20000,31348.30596085144
ICP,2023,815,628,187,1010.196218304361,11355.525055565577,10.101962183043609,113.55525055565576,54.48046608960332,12365.721273869938,63.80368098159509,66.56050955414013,54.54545454545454,3.1071827998851376,3.3663283038290093,0.9398275893901921,20000,30896.093217920665
SUI,2023,675,580,95,3753.731037603637,5816.606055649641,37.53731037603637,58.16606055649641,27.285786881680778,9570.337093253278,63.40740740740741,64.48275862068965,56.84210526315789,6.897246596253778,2.2266724927871095,0.8213107056244294,20000,25457.157376336156
LINK,2023,758,607,151,579.7474811281093,5149.63232185588,5.797474811281092,51.49632321855881,24.343665023358007,5729.379802983989,64.1160949868074,66.88632619439868,52.980132450331126,2.308109832548416,2.7349600998586903,0.8558415214709694,20000,24868.7330046716
AAVE,2023,845,703,142,38.04376084037518,5041.194209252716,0.3804376084037518,50.41194209252716,23.738797348735133,5079.2379700930915,60.946745562130175,63.1578947368421,50.0,2.4398100449267504,2.5917348604804173,0.8324675022598814,20000,24747.759469747027
BTC,2023,306,177,129,0.07398452792522726,4931.73533919807,0.0007398452792522726,49.317353391980696,23.316514304510257,4931.809323725995,66.01307189542483,70.05649717514125,60.46511627906976,1.6350522479977745,3.2371214917283027,1.047613918433968,20000,24663.30286090205
DOT,2023,634,464,170,549.3461005304836,4953.183105666842,5.493461005304836,49.531831056668416,22.718334255845875,5502.529206197325,62.14511041009464,65.08620689655173,54.11764705882353,1.8523789958597665,2.9019534139422474,0.8838774405028545,20000,24543.666851169175
ADA,2023,706,579,127,5898.382762916003,5178.935926713615,58.98382762916003,51.78935926713615,22.145834808107647,11077.318689629617,63.45609065155807,65.11226252158895,55.90551181102362,8.310433875480573,1.2636325733796696,0.8168252531228039,20000,24429.16696162153
UNI,2023,655,500,155,414.78155875709416,4756.855879558461,4.147815587570942,47.568558795584615,22.069424522113476,5171.637438315555,60.152671755725194,62.8,51.61290322580645,2.205896230416452,2.3448768443195327,0.8912812591774526,20000,24413.884904422695
AVAX,2023,761,642,119,326.4789856231238,4324.583836364551,3.264789856231238,43.245838363645504,20.439902296338243,4651.062821987674,64.65177398160316,66.66666666666666,53.78151260504202,3.2443029886378567,2.314449508610253,0.8449340971504751,20000,24087.98045926765
LTC,2023,514,422,92,33.78252481355347,3867.9491916812276,0.3378252481355347,38.679491916812275,18.355946884768674,3901.7317164947813,64.00778210116731,65.63981042654028,56.52173913043478,4.948626199997362,1.8930324635650864,0.8329604510843022,20000,23671.189376953735
ETH,2023,403,282,121,0.5321720511031578,3445.44963408351,0.005321720511031578,34.4544963408351,16.03331623792206,3445.981806134613,59.30521091811415,62.056737588652474,52.892561983471076,1.6356545893111356,2.666676146631267,0.9244435460036402,20000,23206.663247584413
XRP,2023,569,481,88,4095.85496525745,3409.9391935565277,40.9585496525745,34.09939193556528,14.95665446241388,7505.794158813978,63.620386643233736,65.48856548856548,53.40909090909091,5.785423614627911,0.9025598089009067,0.8197576975689628,20000,22991.330892482776
BCH,2023,652,560,92,12.885986000256946,2709.938410330813,0.12885986000256944,27.09938410330813,12.697792674955908,2722.82439633107,61.34969325153374,63.57142857142857,47.82608695652174,1.978212272607015,1.7781579052880154,0.7927380666987567,20000,22539.55853499118
BNB,2023,366,226,140,12.84254331010675,2372.081319421477,0.12842543310106752,23.72081319421477,10.573810613176466,2384.923862731584,65.57377049180327,75.22123893805309,50.0,2.5408980686641587,1.7873947265575223,1.0863323866938237,20000,22114.762122635293
