symbol,year,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity
SUI,2024,1343,1228,115,4033.4355026361527,12135.438390102987,40.33435502636153,121.35438390102986,59.0531963293088,16168.873892739139,63.73790022338049,64.25081433224756,58.26086956521739,3.216419752894812,3.5689314013754707,0.7835969680034924,20000,31810.63926586176
AAVE,2024,1025,848,177,21.381320907011453,10918.374506482756,0.21381320907011453,109.18374506482755,52.633763772665446,10939.755827389768,61.073170731707314,62.02830188679245,56.49717514124294,3.453379930370227,4.033924399956774,0.8325954747783822,20000,30526.75275453309
DOT,2024,860,657,203,202.50369934788213,10823.959855451354,2.0250369934788215,108.23959855451355,51.28352793920842,11026.463554799237,59.53488372093023,60.882800608828006,55.172413793103445,2.4383904887577175,4.460644579643718,0.8940289816483982,20000,30256.705587841683
AVAX,2024,1065,891,174,54.24580824042414,9954.738154355837,0.5424580824042414,99.54738154355837,47.576268355117804,10008.983962596261,59.53051643192489,60.38159371492705,55.172413793103445,3.2129901580997737,3.9687146949097114,0.8337120384687428,20000,29515.25367102356
SOL,2024,995,818,177,15.174712880196571,9670.252159917913,0.15174712880196572,96.70252159917912,46.21479716278336,9685.426872798109,61.10552763819096,61.7359413202934,58.19209039548022,3.011335722895535,3.852845572490243,0.820451702032182,20000,29242.959432556672
LINK,2024,965,770,195,193.7478658043519,8843.863802835258,1.937478658043519,88.43863802835259,41.79397262690185,9037.611668639609,61.554404145077726,63.37662337662338,54.35897435897436,4.899949564555774,3.4128942496446273,0.8540153825068214,20000,28358.79452538037
ETH,2024,576,438,138,0.24087184481536,8268.025610671102,0.0024087184481536,82.68025610671103,39.78395819553683,8268.266482515917,62.84722222222222,61.87214611872146,65.94202898550725,1.4041973637390848,5.254220437132085,0.8024366934558872,20000,27956.791639107367
BCH,2024,921,799,122,3.753228447849492,7332.217928613589,0.03753228447849492,73.32217928613589,35.26078281565497,7335.971157061438,61.23778501628665,61.45181476846058,59.83606557377049,2.5955063770714304,3.7141098917961037,0.7795537908109909,20000,27052.156563130993
ICP,2024,1177,1014,163,571.7556929847283,7163.95373641867,5.717556929847283,71.6395373641867,33.95091155936914,7735.709429403398,63.2965165675446,64.99013806706114,52.760736196319016,3.759842726577942,2.6033153979491646,0.8042373398724204,20000,26790.18231187383
XRP,2024,766,654,112,2307.602366062939,6488.536344939759,23.07602366062939,64.88536344939759,31.191598507020846,8796.138711002699,61.74934725848564,62.69113149847095,56.25,4.931826196005707,2.0472243667127143,0.8326184201255318,20000,26238.31970140417
BTC,2024,490,271,219,0.025156793962304934,6561.331292951562,0.00025156793962304936,65.61331292951562,30.43170530021429,6561.3564497455245,61.0204081632653,65.31365313653137,55.70776255707762,1.8035593908639185,4.326428974819898,1.027277391214568,20000,26086.341060042858
BNB,2024,584,363,221,4.795498545171127,6370.100741766522,0.04795498545171127,63.701007417665224,29.40414692453387,6374.896240311694,60.61643835616438,65.28925619834712,52.94117647058824,2.9687287510581633,3.7421534112187578,0.9941249266943,20000,25880.829384906774
ADA,2024,818,667,151,4923.67971080017,6091.124502258972,49.2367971080017,60.911245022589725,27.797630530543426,11014.804213059142,62.34718826405869,63.718140929535224,56.29139072847682,7.6441890399133,1.6296849401148947,0.8616737642043015,20000,25559.526106108686
LTC,2024,793,602,191,1.2659466987463421,5597.768460922515,0.012659466987463423,55.97768460922515,25.966393771659384,5599.034407621261,56.746532156368225,59.136212624584715,49.21465968586388,2.2550986156348527,2.9378192339895595,0.8701319108223,20000,25193.278754331877
UNI,2024,1028,913,115,122.97768097828774,4338.456672392106,1.2297768097828774,43.38456672392106,20.300752879839436,4461.434353370394,59.33852140077821,60.13143483023001,53.04347826086957,4.128943610293504,2.40221527381591,0.7761822791237917,20000,24060.150575967888
