symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AAVE/USDT,long,322.51023419131974,319.2851318494065,1.9118634750973313,610.1829435096778,-6.412593585792926,-6.412593585792926,-1.0395841663334717,-0.842631402799419,止损,1,2025-02-01 06:30:00,616.8421753103089,grid,neutral,2025-02-01 09:30:00,range_bound
AAVE/USDT,long,313.56239776589223,313.56239776589223,1.9650825796786768,615.9295350898341,-0.24647040219681235,-0.24647040219681235,-0.03998400639744103,0.0,网格止盈,1,2025-02-01 10:45:00,616.4224758942277,grid,neutral,2025-02-01 10:45:00,range_bound
AAVE/USDT,short,234.34,237.98423309442546,17.52851839837712,4042.111941431492,-65.52106004420172,-65.52106004420172,-1.594467229078949,-1.0000000000000004,止损,1,2025-02-08 08:15:00,4109.276054676285,trend,bearish,2025-02-08 17:45:00,range_bound
AAVE/USDT,short,230.31,225.5761127738023,12.398926888710939,2913.1497346153487,57.55288287633241,97.92667246211448,2.399542574676263,1.2652433119562272,止损,1,2025-02-24 14:45:00,4081.055843542446,trend,bearish,2025-02-24 20:00:00,trending_down
AAVE/USDT,short,204.73,197.65998344480536,14.086394535103727,2982.345032716704,98.43747954491776,163.02223814512467,3.9553951235586653,1.3223277575534587,止损,1,2025-02-26 16:15:00,4121.515880275792,trend,bearish,2025-02-26 20:30:00,range_bound
AAVE/USDT,short,201.8,208.22693103510963,20.75146251392836,4052.6018588019388,-135.04327650880433,-135.04327650880433,-3.223512891726172,-1.000000000000002,止损,1,2025-02-26 20:45:00,4189.320193364868,trend,bearish,2025-02-26 22:00:00,range_bound
AAVE/USDT,short,203.02,195.83055440459455,14.240746745916748,2992.383015761992,101.22661140597339,156.45299221817817,3.7864885160032267,2.3236189532458713,止损,1,2025-02-28 00:15:00,4131.87552416823,trend,bearish,2025-02-28 02:00:00,trending_down
AAVE/USDT,short,193.92,183.68397348178277,15.143708074423634,3090.5046000782545,153.8367302860236,227.84034523450913,5.428753912395463,1.8304884191589088,止损,1,2025-02-28 02:15:00,4196.917909914497,trend,bearish,2025-02-28 09:15:00,range_bound
AAVE/USDT,long,216.7,221.42591581298095,13.858604388966553,3067.45290488828,64.29333379922872,107.25492821300008,2.4989824416733897,1.5383278439671164,止损,1,2025-03-05 20:30:00,4291.944049882125,trend,bearish,2025-03-05 23:45:00,trending_up
AAVE/USDT,short,188.4,180.9160124073489,16.105031789680098,3153.5041720732784,119.31618289754739,187.6105365035932,4.326523803883851,1.53108884280821,止损,1,2025-03-09 16:15:00,4336.288091959144,trend,bearish,2025-03-10 00:00:00,range_bound
AAVE/USDT,short,174.25,174.24,25.323515009843053,4411.110676619064,-1.5118138460878605,-1.5118138460878605,-0.034247420113738776,0.0014172473054084214,箱体突破,1,2025-03-11 16:00:00,4414.387539461338,trend,bearish,2025-03-11 16:00:00,range_bound
AAVE/USDT,short,179.64,183.04922498442653,24.556035449072574,4325.764660016726,-85.48154805467067,-85.48154805467067,-1.9370346853612954,-0.9999999999999977,止损,1,2025-03-12 00:45:00,4413.010706554625,trend,bearish,2025-03-12 01:30:00,trending_down
AAVE/USDT,short,181.93,172.78561533007712,16.831869444114965,3214.9142080755564,152.6922001077212,213.05052409563967,4.868221055966126,2.4186244268384542,止损,1,2025-03-12 01:45:00,4376.3527096728885,trend,bearish,2025-03-12 05:45:00,range_bound
