symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
SOL/USDT,long,271.11,268.3989,2.3237800154918666,623.448,-6.55199999999997,-6.55199999999997,-1.039584166333462,-0.3146970821060276,止损,1,2025-01-19 17:45:00,630.252,grid,bullish,2025-01-19 19:30:00,range_bound
SOL/USDT,long,258.0790909090909,255.49829999999997,2.4394511999492754,623.0238059807999,-6.547542019200031,-6.547542019200031,-1.0395841663334717,-0.15874907659083118,止损,1,2025-01-19 22:15:00,629.8231765392,grid,bullish,2025-01-19 22:30:00,range_bound
SOL/USDT,long,249.39181818181817,246.8979,2.522709013637915,622.5999005832107,-6.543087071610116,-6.543087071610116,-1.0395841663334633,-0.13685191199771757,止损,1,2025-01-20 00:00:00,629.3946448498828,grid,bullish,2025-01-20 00:15:00,range_bound
SOL/USDT,long,253.73545454545456,253.73545454545453,2.477836295650167,628.463432798514,-0.2514859675064786,-0.2514859675064786,-0.039984006397452226,-2.7587901538081447e-15,网格止盈,1,2025-01-20 06:30:00,628.9664047335268,grid,bullish,2025-01-20 06:30:00,range_bound
SOL/USDT,long,249.39181818181817,246.8979,2.52086550439989,622.14492592616,-6.538305607954773,-6.538305607954773,-1.0395841663334633,-0.20940816224051087,止损,1,2025-01-20 18:45:00,628.9347048267284,grid,bullish,2025-01-20 19:00:00,range_bound
SOL/USDT,long,262.4227272727273,262.42272727272723,2.39405893686355,628.0041732731934,-0.25130219018548766,-0.25130219018548766,-0.03998400639746268,-8.633620240262391e-15,网格止盈,1,2025-01-22 21:45:00,628.5067776535642,grid,bullish,2025-01-22 21:45:00,range_bound
SOL/USDT,long,266.7663636363636,266.7663636363636,2.354958859220214,627.9725218628606,-0.2512895245549662,-0.2512895245549662,-0.03998400639744103,0.0,网格止盈,1,2025-01-24 11:45:00,628.4751009119706,grid,bullish,2025-01-24 11:45:00,range_bound
SOL/USDT,long,262.4227272727273,259.7985,2.3938176218040077,621.6589505586855,-6.533198348636202,-6.533198348636202,-1.0395841663334755,-0.5600357389553939,止损,1,2025-01-24 15:45:00,628.4434257668847,grid,bullish,2025-01-24 20:15:00,range_bound
SOL/USDT,long,258.0790909090909,258.07909090909095,2.432450938810603,627.5136210784175,-0.25110589078754375,-0.25110589078754375,-0.039984006397419,1.5238103903719732e-14,网格止盈,1,2025-01-25 17:45:00,628.0158328599928,grid,bullish,2025-01-25 17:45:00,range_bound
SOL/USDT,long,253.73545454545456,253.73545454545453,2.473966788565264,627.4819943919149,-0.2510932350508566,-0.2510932350508566,-0.039984006397452226,-1.1127458484117047e-14,网格止盈,1,2025-01-26 10:45:00,627.9841808620165,grid,bullish,2025-01-26 10:45:00,range_bound
SOL/USDT,long,249.39181818181817,246.8979,2.5169288008547497,621.1733548006042,-6.528095078745213,-6.528095078745213,-1.0395841663334635,-0.893889467998817,止损,1,2025-01-26 21:45:00,627.9525304593011,grid,bullish,2025-01-26 22:45:00,range_bound
SOL/USDT,short,225.71,219.48790152459983,12.96920984948226,3006.8051438161983,79.52478868955782,113.81750648200433,2.7206276378200336,2.5253368723534493,止损,1,2025-02-01 16:30:00,4183.501810383845,trend,neutral,2025-02-01 20:30:00,trending_down
SOL/USDT,short,199.1,192.93607393905123,14.868161320606173,3050.71306560759,90.46214667490176,122.26106561543037,2.88990794574392,2.7096976513705133,止损,1,2025-02-06 12:15:00,4230.621456143231,trend,bearish,2025-02-06 16:15:00,trending_down
SOL/USDT,short,189.36,193.15662447489413,22.600174648962252,4192.052867689749,-87.51620383774262,-87.51620383774262,-2.04415935088476,-0.9999999999999963,止损,1,2025-02-06 16:30:00,4281.280899156103,trend,bearish,2025-02-06 21:00:00,range_bound
SOL/USDT,short,189.35,183.257986471755,15.682415150874764,3063.8150079492925,94.349699131156,124.48856783021101,2.933428936200272,2.9515827363812583,止损,1,2025-02-16 20:15:00,4243.7901356309485,trend,bearish,2025-02-17 05:45:00,trending_down
SOL/USDT,short,184.53,177.8769633049505,16.287682640157897,3112.726401439593,107.16032385125601,148.38808774715974,3.4545947981478595,2.2920815936309724,止损,1,2025-02-17 06:00:00,4295.383291456245,trend,bearish,2025-02-17 19:30:00,range_bound
SOL/USDT,short,176.76,167.87144598806566,17.247608284029006,3200.7740631981314,152.08682291316387,182.31421244121242,4.184388593710531,5.000000000000004,止盈,1,2025-02-18 04:15:00,4357.00959311583,trend,bearish,2025-02-18 06:00:00,trending_down
SOL/USDT,short,170.7,164.11730649530762,18.170916457447664,3220.1483028493503,118.37286356303395,167.36985720317068,3.775645836149815,2.0855010275624526,止损,1,2025-02-18 12:45:00,4432.880213517186,trend,bearish,2025-02-18 18:00:00,trending_down
SOL/USDT,short,166.62,160.41122919599525,18.908060731186218,3266.5967100267744,116.13563099652573,156.11282494980532,3.467279252506973,2.8722515696770192,止损,1,2025-02-24 00:45:00,4502.458947802657,trend,bearish,2025-02-24 05:30:00,range_bound
SOL/USDT,short,159.86,153.76116265022748,19.991423571276204,3316.475081266995,120.64610916278073,184.69911007931557,4.043948631507476,2.405963535935304,止损,1,2025-02-24 05:45:00,4567.296148132937,trend,bearish,2025-02-24 16:00:00,trending_down
SOL/USDT,short,138.43,133.68792245402432,23.474634192011983,3359.6123094576724,110.01869825745311,182.70248374603904,3.9340489204758624,1.477023545146876,止损,1,2025-02-26 16:15:00,4644.133498063856,trend,bearish,2025-02-26 20:00:00,range_bound
SOL/USDT,short,133.88,138.14580027562647,35.242244757510704,4566.0080580439935,-152.22367009153905,-152.22367009153905,-3.2249964337737227,-0.9999999999999967,止损,1,2025-02-26 20:15:00,4720.119020826787,trend,bearish,2025-02-27 01:15:00,range_bound
