symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AVAX/USDT,short,18.22,16.600657329838793,164.41021321234007,3260.592336759989,265.03825203115247,351.1923980099897,8.203369964378927,3.463515230607736,止损,1,2025-03-10 13:45:00,4281.074723375325,trend,bearish,2025-03-10 19:15:00,trending_down
AVAX/USDT,long,19.62,19.207370397760716,225.59351948868056,4331.287830212591,-94.85702215532181,-94.85702215532181,-2.1422501449944233,-1.0000000000000004,止损,1,2025-03-19 20:15:00,4427.91531030886,trend,bearish,2025-03-20 04:15:00,range_bound
AVAX/USDT,long,19.18,18.98232149292429,228.652831633341,4338.607335807276,-46.95397492020375,-46.95397492020375,-1.0702210621263017,-1.0000000000000033,止损,1,2025-03-20 04:30:00,4387.3155352517715,trend,bearish,2025-03-20 10:00:00,range_bound
AVAX/USDT,long,21.5,22.221046965501472,142.11966078476996,3156.825427936762,101.2527210642079,135.44671144902358,3.101702927438469,2.588070689779385,止损,1,2025-03-25 04:15:00,4366.8499085075755,trend,bullish,2025-03-25 12:45:00,trending_up
AVAX/USDT,long,22.34,22.949184676735257,138.53539408342937,3178.0363908033883,83.15568697957583,127.15436981430834,2.8748271224843984,1.8972567914590517,止损,1,2025-03-25 13:00:00,4423.02665157906,trend,bullish,2025-03-25 19:30:00,range_bound
AVAX/USDT,short,19.78,19.32100005046125,158.3288244990382,3203.1643733871274,71.42022479615179,118.3820017203907,2.6449883377140853,1.4902592508818944,止损,1,2025-03-29 20:30:00,4475.709780357732,trend,bullish,2025-03-30 14:30:00,trending_down
AVAX/USDT,short,19.33,19.00865465181794,163.78801469631702,3217.388431760812,51.36610768100444,95.74807359929466,2.1161206687911553,1.2775142770883352,止损,1,2025-03-30 14:45:00,4524.698190013485,trend,bullish,2025-03-30 22:30:00,trending_down
AVAX/USDT,short,19.0,18.4983934110387,168.086335050924,3276.676122997069,83.03575702951345,132.91417633919616,2.912122583981729,1.6471794874031196,止损,1,2025-03-30 22:45:00,4564.168317305632,trend,neutral,2025-03-31 10:30:00,range_bound
AVAX/USDT,short,18.59,18.879892398271497,248.38089619840133,4543.5501663003715,-73.85069402790978,-73.85069402790978,-1.5987601638822555,-0.9999999999999962,止损,1,2025-03-31 10:45:00,4619.247820672413,trend,neutral,2025-03-31 12:45:00,range_bound
AVAX/USDT,short,17.84,17.47837500636537,179.92855895988885,3273.708185636237,63.782693791820435,97.93292864976846,2.1348046854365976,2.1127067713949153,止损,1,2025-04-06 00:15:00,4587.4420886302205,trend,bearish,2025-04-06 05:45:00,trending_down
AVAX/USDT,short,17.4,17.03703159783074,186.1022129531505,3304.4324568584325,66.25395147361415,97.60207166465958,2.1090292705818845,1.9865951060659317,止损,1,2025-04-06 06:00:00,4627.819681124246,trend,bearish,2025-04-06 14:00:00,range_bound
AVAX/USDT,short,17.21,16.441266926131277,189.79253343784563,3410.9227662921453,144.59326582682147,184.70315222056576,3.9567505461970147,3.3663814632815545,止损,1,2025-04-06 16:15:00,4668.051474665014,trend,bearish,2025-04-06 19:15:00,trending_down
AVAX/USDT,short,16.35,15.767043763628434,203.06321002214628,3437.1324151285858,117.04893126649462,194.80415510637488,4.105571015997868,1.5231725356159764,止损,1,2025-04-06 19:30:00,4744.87359607948,trend,bearish,2025-04-07 04:00:00,trending_down
AVAX/USDT,short,15.92,15.085718185912237,212.11043539183908,3552.4072910111513,175.60915957307358,257.75334969621576,5.341012275124087,1.921020647997894,止损,1,2025-04-07 05:30:00,4825.926929558075,trend,bearish,2025-04-07 08:15:00,range_bound
AVAX/USDT,long,18.9,19.25362947250441,182.64604836839595,3515.2185357765493,63.20822161386615,104.88596246812439,2.126031231703559,1.350620725833042,止损,1,2025-04-11 12:15:00,4933.415883269069,trend,bearish,2025-04-11 15:45:00,trending_up
AVAX/USDT,long,19.23,20.1342315990223,181.0851195733506,3644.6168298867287,162.3499804911969,195.90050015084674,3.9363875838931723,4.9999999999999964,止盈,1,2025-04-12 12:15:00,4976.656794478986,trend,neutral,2025-04-12 15:15:00,trending_up
AVAX/USDT,long,21.0,20.461587577456495,240.76711398701923,4924.454944859353,-131.65444886805022,-131.65444886805022,-2.602827547759492,-1.0000000000000009,止损,1,2025-04-12 15:30:00,5058.131837484894,trend,neutral,2025-04-12 15:45:00,trending_up
AVAX/USDT,long,20.41,20.108762772464097,244.97624198063085,4924.169148838736,-75.7959499859397,-75.7959499859397,-1.5153234518828598,-1.0000000000000038,止损,1,2025-04-12 20:30:00,5001.965084864206,trend,neutral,2025-04-13 04:45:00,range_bound
AVAX/USDT,short,18.77,18.952578764242528,264.63989375034515,4916.986264601489,-50.30454109248959,-50.30454109248959,-1.0123109213561687,-0.9999999999999987,止损,1,2025-04-16 07:00:00,4969.277722016256,trend,bullish,2025-04-16 08:30:00,range_bound
AVAX/USDT,long,19.68,20.18811048369926,175.9009083082238,3549.722279159272,87.99240365342821,119.81498877728558,2.421822625571118,2.8894098140861817,止损,1,2025-04-19 16:30:00,4947.306524937209,trend,bullish,2025-04-19 22:00:00,range_bound
