symbol,return,max_dd,trades,trend_trades,grid_trades,win_rate,profit_factor,avg_r,sharpe,final_balance,init_balance
AAVE,39.06838838527083,5.2022321943104295,152,127,25,44.73684210526316,2.2645787632586987,0.3577328312997114,2.418055097182172,13906.838838527083,10000
AVAX,87.84047998407944,4.28551334573035,148,144,4,56.75675675675676,2.0582754924731,0.807386549998704,4.381925511440947,18784.047998407943,10000
BNB,53.82955416305351,3.7116411097521285,199,189,10,51.256281407035175,2.1281275889183466,0.6467980192617658,3.8350724487250307,15382.95541630535,10000
DOT,44.617440251873326,5.267996687099863,129,126,3,53.48837209302325,1.8317872308252898,0.6863403930311237,2.972124969095633,14461.744025187332,10000
LINK,56.14324335702209,3.107280082803114,135,129,6,55.55555555555556,1.7601896026303177,0.660137003407536,3.1032924942589744,15614.32433570221,10000
SOL,72.17365609014035,6.611886565428657,206,195,11,49.51456310679612,2.0528487416697714,0.5660905554183263,3.59447328525398,17217.365609014036,10000
TAO,104.03831007234479,6.10525921808944,152,137,15,51.31578947368421,2.383783222931696,0.7506066077548911,4.142996591798199,20403.83100723448,10000
UNI,27.731769831967995,5.664720895952657,123,116,7,46.34146341463415,1.8708352340781846,0.48751899552526184,1.8320855690426139,12773.1769831968,10000
XRP,54.669198863640375,2.9849546305355332,158,118,40,44.303797468354425,2.9609126473293155,0.6446210149883963,3.4425003544006465,15466.919886364038,10000
